index,Name of movie,Year of release,Watchtime (mins),Movie Rating,Metascore,Votes,Gross Collection,Partial_url,complete url,Poster,Trailer,Tags,Storyline,Cast,Similar Movies
0,Dinosaur,2000,82 ,6.4,56,"63,720",$137.75M,/title/tt0130623/,https://www.imdb.com/title/tt0130623/,https://www.imdb.com//title/tt0130623/mediaviewer/rm2237727232/?ref_=tt_ov_i,,AnimationAdventureDrama,"Initially, Directors Eric Leighton and Ralph Zondag were to use the popular Tyrannosaurus rex as this movie's antagonistic predator, but at around the time of production, The Lost World: Jurassic Park (1997) was released, which depicted a somewhat softer, motherly side to the classic dinosaur. Thus, a Carnotaurus was used. However, they changed the Carnotaurus' size to be even larger than Tyrannosaurus rex, close to 17-18 m long, when real Carnotaurus were only 8-9 m in length, about the same size or even smaller then the film's hero Aladar.",D.B. SweeneyAladar(voice)Julianna MarguliesNeera(voice)Samuel E. WrightKron(voice)Alfre WoodardPlio(voice)Ossie DavisYar(voice)Max CasellaZini(voice)Hayden PanettiereSuri(voice)Peter SiragusaBruton(voice)Joan PlowrightBaylene(voice)Della ReeseEema(voice)Matt AdlerAdditional Voice(voice)Sandina Bailo-LapeAdditional Voice(voice)(as Sandina Bailolape)Edie Lehmann BoddickerAdditional Voice(voice)Zachary BostromAdditional Voice(voice)Cathy CavadiniAdditional Voice(voice)(as Catherine Cavadini)Holly DorffAdditional Voice(voice)Greg FinleyAdditional Voice(voice)Jeff FischerAdditional Voice(voice),
1,Amores perros,2000,154 ,8.1,83,"244,979",$5.38M,/title/tt0245712/,https://www.imdb.com/title/tt0245712/,https://www.imdb.com//title/tt0245712/mediaviewer/rm3399622401/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2171189785/1434659607842-pgv4ql-1550253405802.mp4?Expires=1683976735&Signature=nR3JGxABErGcjgRJM5JVQNMYLpOtCZaDF8~p7o1WmkDfv5yYiztMWVJuoYXSHqOgTKwf21F0VBz9ed499XK81AMR1wqcNjhLWPAMTEnJ-wavGHfiqkCaIVLFK4JbghonHkgTeGZNrxi01zVQ59Fx5qsB6OAIMPT--EbLosSw9u0pTWkgjKQNEVX2NNDropvak8cfxv7EQ6R6G2Cm8omT~gUilcjMV-XfdzU~mWan2-p6zTMqKsu76uP6ortLtKqC104Di3DFozoz~OhTYk9WCJcSgiWaJZDlIJeFS8OtAaZ3U8wqfGkKohIHQk49BvZJAV1MfRbrXHRmtI3EypdQhQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaThriller,"For the scenes where the dogs appeared to be dead or dying, the animals were actually heavily sedated under the careful eye of the Mexican SPCA. Multiple dogs that looked like one dog seen on screen were also used, so that the same dog was not under sedation for more than half an hour and not more than once a day at a time.",Emilio EchevarríaEl ChivoGael García BernalOctavio(as Gael García)Goya ToledoValeriaÁlvaro GuerreroDaniel(as Alvaro Guerrero)Vanessa BaucheSusanaJorge SalinasLuisMarco PérezRamiroRodrigo MurrayGustavoHumberto BustoJorgeGerardo CampbellMauricioRosa María BianchiTía Luisa (Aunt Luisa)Dunia SaldívarMama Susana (Susana's Mother)Adriana BarrazaMama Octavio (Octavio's Mother)José SefamiLeonardoLourdes EchevarríaMaruLaura AlmelaJulietaRicardo DalmacciAndrés SalgadoGustavo Sánchez ParraJarocho,           Grams      Babel      Biutiful      And Your Mother Too      The Secret in Their Eyes      Wild Tales      La haine      The Lives of Others      The   00 Blows      Persona      Pan's Labyrinth      Hotel Rwanda
2,U-571,2000,116 ,6.6,62,"84,003",$77.09M,/title/tt0141926/,https://www.imdb.com/title/tt0141926/,https://www.imdb.com//title/tt0141926/mediaviewer/rm4196415488/?ref_=tt_ov_i,,ActionWar,"The caption before the end credits, detailing the fact that the Royal Navy captured the first Enigma machine, was only added after an outcry in Britain, where it was believed that Hollywood was trying to claim the credit for the Americans (whose forces captured no German Naval Enigma material until 1944).",Matthew McConaugheyTylerBill PaxtonDahlgrenHarvey KeitelChiefJon Bon JoviEmmettDavid KeithCoonanThomas KretschmannWassnerJake WeberHirschJack NoseworthyWentzTom GuiryTriggerWill EstesRabbitTerrence 'T.C.' CarsonEddie(as T.C. Carson)Erik PalladinoMazzolaDave PowerTankDerk CheetwoodGriggsMatthew SettleLarsonRebecca TilneyMrs. DahlgrenCarolyna De LaurentiisPrudence DahlgrenDina De LaurentiisLouise Dahlgren,
3,Frequency,2000,118 ,7.4,67,"111,464",$45.01M,/title/tt0186151/,https://www.imdb.com/title/tt0186151/,https://www.imdb.com//title/tt0186151/mediaviewer/rm4240258561/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3265790233/1434659607842-pgv4ql-1563894246531.mp4?Expires=1683977580&Signature=GtJfcJxdXRMd5F-n3zYOsuVFbQk1kGa4YtbmtMctgMpksEYmeQoQefo8VxYVnm~aJl9tVfuaQRz9RFYj7D88PSqZkHr7vbZMl7WlOFCq4PJPUW6jLiGf0jtO0WDQo84oURZQfK9bz4IdOH2dneYCRauFpNZKer-pe875-QGWxap8-azOsiAYMofnbLJ8z64wAhLPbkwyf3zQoYL~NByITVgggeOnuYFMcvWPpL0dy59a8~5EwiFW5MYaBMJ5cJsXIV9Ry-2bcPJ8rqegT4Mp7ypWPVvz5AAaizISIa0P55r-vJiJAapNTVQGSEYDd4NGeE-WfnKaFNlHHcOqwH7L9Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,CrimeDramaMystery,"In the warehouse fire scene, all the firefighters except Dennis Quaid, Peter MacNeill and Jordan Bridges are real.",Dennis QuaidFrank SullivanJim CaviezelJohn SullivanShawn DoyleJack ShepardElizabeth MitchellJulia SullivanAndre BraugherSatch DeLeonNoah EmmerichGordo HerschMelissa ErricoSamantha ThomasDaniel HensonJohnny Sullivan (6 Years)Jordan BridgesGraham GibsonStephen JoffeGordo Hersch (8 Years)Jack McCormackCommander O'ConnellPeter MacNeillButch FosterMichael CeraGordy Jr. (10 Years)Marin HinkleSissy ClarkRichard SaliChuck HayesNesbitt BlaisdellFred ShepardJoan HeneyLaura ShepardJessica MeyerTeenage Runaway,      K-PAX    0The Thirteenth Floor      Frequency      The Jacket      Contact      The Man from Earth      Gattaca      Dark City      Deja Vu      Phone Booth      Identity      Timecrimes
4,How the Grinch Stole Christmas,2000,104 ,6.3,46,"268,108",$260.04M,/title/tt0170016/,https://www.imdb.com/title/tt0170016/,https://www.imdb.com//title/tt0170016/mediaviewer/rm1102798080/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi208601113/1434659607842-pgv4ql-1563831572158.mp4?Expires=1683977265&Signature=OvKpk3LVPvIC3GcNOyG8WvDd2xLYk0ARG2jdnze~NiZZ7CV6aYQMpYE5WNye6nYVsHS0kMOzskeFgznAtD~-oU7oyynfsuCjKDLZ4eawB8IdFdWpP0~xfC8yWuBxAtdYmfFhIfYuJkEppBumDGlNWCKwWM09uBMBGRVG8SSqqbPLMaon3aG3Xom8WcY3ierU3KcAFK8Bvb-QHuswvIhovIC4S8C2Ymi7Gkdbp9Njt9WnUOFt-FBdp1y6RkyoudzmF~--RAbk8qmTz1Q0OLQ99yIasnJvcj8hMQifPrdUY9PkZAvhofglL1LgmaTCMrLbNAQTA5Ts7odRPSbngFABDw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyFamilyFantasy,"The scene where the Grinch is directing his dog, Max (Kelley), before stealing Christmas, is Jim Carrey making fun of producer and director Ron Howard, imitating his style of directing. Howard found the scene hilarious and decided to include it in this movie.",Jim CarreyGrinchTaylor MomsenCindy Lou WhoKelleyMaxJeffrey TamborMay WhoChristine BaranskiMartha May WhovierBill IrwinLou Lou WhoMolly ShannonBetty Lou WhoClint HowardWhobrisJosh Ryan Evans8-Year-Old GrinchMindy SterlingClarnellaRachel WinfreeRoseRance HowardElderly TimekeeperJeremy HowardDrew Lou WhoT.J. ThyneStu Lou WhoLacey KohlChristina WhoterberryNadja PionillaJunieJim MeskimenOfficer WholihanMichael DahlenCustomer,      Elf      Home Alone      Home Alone      Lost in New York      The Grinch      The Polar Express      The Santa Clause    0Jumanji      Night at the Museum      A Christmas Carol      How the Grinch Stole Christmas!      Charlie and the Chocolate Factory      The Nightmare Before Christmas
5,The Whole Nine Yards,2000,98 ,6.7,47,"124,136",$57.26M,/title/tt0190138/,https://www.imdb.com/title/tt0190138/,https://www.imdb.com//title/tt0190138/mediaviewer/rm2373163264/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4278959641/1434659607842-pgv4ql-1594734069019.mp4?Expires=1683977272&Signature=ggb0Lsm2Apyy3M~hq04X01znPi5bgK-4H7YVMV2y1gk-Jehhqx8G7SFWcK64eXbUw-itz0OimI9oCC8xaM9bbNN82AN7IkrPPjkA8rwGf2IV44D6x1W9FMWm4n~wX08Dae7YBPgt8akcYhbtoqKK79TK5-YOCTWCuAwrO7xsjKW8eU5g562GxfFdlcSNBsz1Dzi5Evp0GER1fVYKNLfIvlzvwvtY7xrVZHqz~dJhuOks1wx3eAiyd99a7yjS0S1o0dwPlDNaU8V2OG9kqi~YxBHPIeh6rmbJ8f0rvktFxwrVjQ6wNbY2mm0GURNbgc-MYRMr~~SkcX9opmsQ0E6zUg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyCrime,"The three kids who run between Jimmy and Oz when they are standing next to the flower cart are Bruce Willis's three daughters, Tallulah Willis, Scout Willis, and Rumer Willis.",Bruce WillisJimmy TudeskiMatthew PerryOz OseranskyRosanna ArquetteSophieMichael Clarke DuncanFrankie FigsNatasha HenstridgeCynthiaAmanda PeetJillKevin PollakJanni GogolakHarland WilliamsAgent HansonCarmen FerlandSophie's Mom(as Carmen Ferlan)Serge ChristiaenssensMr. Boulez(as Serge Christianssens)Renee Madeline Le GuerrierWaitress(as Renée Madelaine Le Guerrier)Jean-Guy BouchardMoverHoward BilermanDave MartinJohnny GoarHungarian HoodDeano ClavetPolish PugStephanie BiddleJazz SingerCharles Biddle Sr.Bass Player(as Charles Biddle)Geoff LappPianist,      The Whole Ten Yards      The Jackal           Blocks    0The Last Boy Scout      Mercury Rising      Fools Rush In      Bandits      Last Man Standing      Serving Sara      What Women Want    0Three to Tango      Hostage
6,The Gift,2000,112 ,6.7,62,"71,747",$12.01M,/title/tt0219699/,https://www.imdb.com/title/tt0219699/,https://www.imdb.com//title/tt0219699/mediaviewer/rm3355645952/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3589407001/1434659607842-pgv4ql-1563726459021.mp4?Expires=1683977279&Signature=kSRnJiaiZudxtEux0FxokPd8Fofhzo7fd8hFywPMPe7WKWy01KL~GGG9m4iC6x18HAge-RShhsxvbtb4iF053O5-QkI8JQikPAnwVrCja~WdL2bP2~j5kCTZtB5k7up21VZ7teR5kWvVBq-jxoq5N4aji7lQLGzGYVQ5GkWrLsKCBNXr4R30hVWthbtlXd031sth2wP1dvsDmr9pBBwvQ2YBmOYmAniVAOuei85~JOpdZCXTJJ5yk50FH2rgGWoxw3PAh7wwtynGIdk8gjaj85QnXzr3JiLPS2~yX7TwlHxle0mRv7Wg05yDKW4C5XFCNHTDMbAB1ALZ0MrjAGq0fg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaFantasyHorror,Based on Billy Bob Thornton's own mother's reputed psychic abilities.,Cate BlanchettAnnie WilsonKatie HolmesJessica KingKeanu ReevesDonnie BarksdaleGiovanni RibisiBuddy ColeGreg KinnearWayne CollinsHilary SwankValerie BarksdaleMichael JeterGerald WeemsKim DickensLindaGary ColeDavid DuncanRosemary HarrisAnnie's GrannyJ.K. SimmonsSheriff Pearl JohnsonChelcie RossKenneth KingJohn BeasleyAlbert HawkinsLynnsee ProvenceMike WilsonHunter McGilvrayMiller WilsonNathan Lee LewisCornelius(as Nathan Lewis)Benjamin PeacockTommyClay JamesStanley,      What Lies Beneath      Stir of Echoes      A Simple Plan      The Watcher      Arlington Road    0The Gift      Darkman      Frailty    0Fallen      Sweet November      Murder by Numbers      The Mothman Prophecies
7,The Replacements,2000,118 ,6.6,30,"67,064",$44.74M,/title/tt0191397/,https://www.imdb.com/title/tt0191397/,https://www.imdb.com//title/tt0191397/mediaviewer/rm1011353344/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1072890137/1434659607842-pgv4ql-1564019925232.mp4?Expires=1683977284&Signature=Y2LI72b2CdRUipEs6QLj3G9PTgx4vfcBKVnHYTZclZ2Prr5YcjlNLS3jEIvCsN4WinoUw~NBMxS0nA9r6lCUxY6rkHLwlJZ2b1vIWQGBUwO3k7F7GD7gbfDIDswYoC~Wcp46TPk~gdhq9S8PapEl~GAeSCWMmB2YmoahoavbqGQKlVU~nIdxuN8MZABetVIc-LFpf2Km3yxCNsdQGAlAGt3Rg80B89l7Ykn0AQN0wcHtA-lKafx5AJPDdFOftSAcLyBXlMO47V4akR0qezcEEzL63XihATJ4WkPjCfv9AoZeFHCLeqti3xMVJ~01e8~tfEkZoLKr1fuGz1O4UN-SqA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedySport,Final film of Jack Warden.,Keanu ReevesShane FalcoGene HackmanJimmy McGintyBrooke LangtonAnnabelle FarrellOrlando JonesClifford FranklinFaizon LoveJamalMichael TaliferroAndre(as Michael 'Bear' Taliferro)Ace YonamineFumikoTroy WinbushWalter CochranDavid DenmanBrian MurphyJon FavreauBatemanMichael JaceWilkinsonRhys IfansNigel GruffGailard SartainPilachowskiArt LaFleurBanesBrett CullenEddie MartelArchie L. Harris Jr.Wilson CarrEvan ParkeMalcolm La Mont(as Evan Dexter Parke)John MaddenJohn Madden,      Hardball      Varsity Blues      Major League      Any Given Sunday      Rudy      Friday Night Lights    0Invincible      White Men Can't Jump    0We Are Marshall      Remember the Titans      Hoosiers      Point Break
8,Next Friday,2000,98 ,6.1,41,"42,282",$57.33M,/title/tt0195945/,https://www.imdb.com/title/tt0195945/,https://www.imdb.com//title/tt0195945/mediaviewer/rm3283681792/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1134100761/1434659607842-pgv4ql-1564594864034.mp4?Expires=1683977290&Signature=lssdqgxZr994IxylETjkJ6Jki8G6RQwCxwHZ7cWO2zE9iMcXguASedKN5d3vEEdl-s38KOdz8LwaKNkanty9FSeA2B1WaMElIKfoACvMv72RDNc9PLwmlCrBflDPIue7HeTdVgjyiVaW5GkOrJmy1x7eFobSsn2T11uiev7ePGKnR-n1n8ZvQUdQYp3~qK3TkFPZ7vBdYeRLFY3QBRVjtemVCCOQrwiu0jBvkUjjlRsmxaWMB7M-j3Cx8gMhezUfLaW9nr0v4gfhy-8yTKqUx3yEwtbmS2gvFdBObaWsG3a5sAz2rrrdUYuRgGXQlbuiUQmGspv4to~mt78yR9L6uA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Comedy,Chris Tucker did not reprise his role of Smokey from the original film because he'd become a born again Christian after filming Money Talks (1997) and chose to do the Rush Hour series instead. His character is referenced throughout the film to explain his absence.,Ice CubeCraig JonesMike EppsDay-DayJustin PierceRoachJohn WitherspoonMr. JonesDon 'D.C.' CurryUncle ElroyJacob VargasJokerLobo SebastianLil JokerRolando MolinaBaby JokerLisa RodríguezKarla(as Lisa Rodriguez)Tom Lister Jr.Deebo(as Tommy 'Tiny' Lister Jr.)Kym WhitleySuga(as Kym E. Whitley)Amy HillMrs. Ho-KymTamala JonesD'wanaThe Lady of RageBaby D'(as Robin Allen)Carmen SeranoGirl #1Maria ArcéGirl #2(as Maria Arce)Vanessa WhiteGirl #3Clifton PowellPinky,      Friday After Next      Friday      Boyz n the Hood      How High      Don't Be a Menace to South Central While Drinking Your Juice in the Hood      Menace II Society      BarbershopLast Friday    0Juice      Baby Boy      Straight Outta Compton      Half Baked
9,Chocolat,2000,121 ,7.3,64,"195,810",$71.51M,/title/tt0241303/,https://www.imdb.com/title/tt0241303/,https://www.imdb.com//title/tt0241303/mediaviewer/rm3505219328/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2733547033/1434659607842-pgv4ql-1564245855361.mp4?Expires=1683977295&Signature=Lsd0r3XsyAiHNxPiEYY2AeUcd16gCY3t4PyWVkVlInSYcTGyaju9PhHMeQun75jGcjApElcYg-cUhzXM2NCZPPEnjl7rKsTRkzAVn3tGj2qznf8h7nqFqhwSA6mnBHMNVcquViq-3ItY-AIrZfU4OmU3BRKaiIttnNdMv1~0arFN~wSwFH-DfpWAr00q6vaJ45OBehraRKHNB9fnXUJqhf-N3IlxuA1JMyCD~988~sbDMar9kIAzxo42KBdpMN7a~vbMN~0fsI~NzmFX8xv9Khr-S7z-Zr0bwnP~80pr1dGED2uEyDEPF4Upu0yZ66rcuojBU88KCGSW1HnD3Q1m1w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaRomance,"The village of Flavigny-sur-Ozerain, with its three hundred seventy inhabitants, became part of this movie. Two hundred fifty people from the area were recruited as extras. The population was informed daily about what was going on.",Juliette BinocheVianneJohnny DeppRouxJudi DenchArmande VoizinAlfred MolinaComte de ReynaudCarrie-Anne MossCaroline ClairmontAurelien Parent KoenigLuc Clairmont(as Aurèlien Parent Koenig)Antonio GilJean-Marc Drou(as Antonio Gil-Martinez)Hélène CardonaFrancoise DrouHarrison PrattDedou DrouGaelan ConnellDidi DrouÉlisabeth CommelinYvette Marceau(as Elisabeth Commelin)Ron CookAlphonse MarceauGuillaume TardieuBaptiste MarceauHugh O'ConorPere HenriJohn WoodGuillaume BlerotLena OlinJosephine MuscatPeter StormareSerge MuscatLeslie CaronMadame Audel,      What's Eating Gilbert Grape      Blow    0The Tourist      Frida      Edward Scissorhands      The English Patient      Secret Window      Shakespeare in Love      From Hell      Elizabeth      Sweeney Todd   The Demon Barber of Fleet Street      Dark Shadows
10,Billy Elliot,2000,110 ,7.7,74,"138,225",$22.00M,/title/tt0249462/,https://www.imdb.com/title/tt0249462/,https://www.imdb.com//title/tt0249462/mediaviewer/rm815140608/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1724629273/1434659607842-pgv4ql-1605832207232.mp4?Expires=1683977300&Signature=j4~yXalRyiQ~uBM9Sa96-D7PuDI2nyzDGRh7N4~XZ1HZR54EW3NmIop1xD26fjPQuxEfK28j7FDum98bGh4z4DhiH1gwGMsTz2uAHNPebRlfxqG0qTQltjnbSpE8b8~rYl-fDV-FPJh52mLjEcaPIqRrC7WtmSrBR1ypMzdZIzybZURTlEe0WE67I4eAUGAptUaMLTqQjLIvRZzNPo3BLnt8PASc7juPPKYOboJr~Z6zfd31dkuS0BS2yJn1i6lD-lRFu331JqHYswkkZIbWv1Z0Rand3OHE1OgX2FFFhnjOwZS0bvm-HoUnP37UboTBANZ5BNL2iBaO4G5rDwyjqA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaMusic,"Jamie Bell was going through puberty at the time of filming. Some of his dialogue had to be post-synched as his voice had broken. And the opening scene in which he jumps up and down on a bed to T. Rex's ""Cosmic Dancer"" was shot over a lengthy period of time. For the latter takes, Bell had acquired hair on his legs and had to have them shaved.",Jamie BellBillyJulie WaltersMrs. WilkinsonJean HeywoodGrandmaJamie DravenTonyGary LewisDadStuart WellsMichaelMike ElliotGeorge WatsonBilly FaneMr BraithwaiteNicola BlackwellDebbieCarol McGuiganLibrarianJoe RentonGary PoulsonColin MacLachlanMr. Wilkinson(as Colin Maclachlan)Janine BirkettBilly's MumTrevor FoxPC Jeff PeverlyCharlie HardwickSheila BriggsDenny FergusonMinerDennis LingardNCB OfficialMatthew James ThomasSimon(as Matthew Thomas),      The Full Monty      Billy Elliot      The Chorus      Four Weddings and a Funeral      About a Boy      Bridget Jones's Diary      'Billy Elliot'   Breaking Free      Mrs   Doubtfire      Bend It Like Beckham      Rocketman      Moulin Rouge!      Chocolat
11,The Family Man,2000,125 ,6.8,42,"114,009",$75.79M,/title/tt0218967/,https://www.imdb.com/title/tt0218967/,https://www.imdb.com//title/tt0218967/mediaviewer/rm3835698688/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi318685465/1434659607842-pgv4ql-1603315936042.mp4?Expires=1683977626&Signature=Q6qlSN4esHmgS738PBn8eZhU7uYRnrN5NbSOZM66dKuDr4AMqTMIIylMCndvpl1QrO37rZP2flsxmrDOXpuNGnQo2Y00uEAvNmkbqqMkPIfk7skSojU1yGu6jKXKNwfXHaiO7fLDp~v44Smw7vN7WLzFQZgkkwqE~2DqHjX8dGeT1X18J4eJ2HPyl141kEsq~DRoP97akW-UUVfm~U5oNqPi00fyQqq8NZ14u0RNeiEznzCPWXvaHAxw39AcchTjjBGdG6HWH91GgdJcTlw2q1ghrXF5VpXkLMg1f7W6lmsu83HhKlkAu7qRRje2yZhL~Y2ieJOgOyYam9xkcdhmnQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyDramaFantasy,"According to the DVD commentary, the scene where Jack gets back into his minivan and the minivan won't start was a happy accident that wasn't supposed to happen. The director thought it was a perfect beat and left it in the final cut.",Nicolas CageJack CampbellTéa LeoniKate ReynoldsDon CheadleCashJeremy PivenArnieSaul RubinekAlan MintzJosef SommerPeter LassiterMakenzie VegaAnnie CampbellJake MilkovichJosh CampbellRyan MilkovichJosh CampbellLisa ThornhillEvelyn ThompsonHarve PresnellBig EdMary Beth HurtAdelleAmber VallettaPaulaFrancine YorkLorraineRuth WilliamsonBetty PetersonJohn F. O'DonohueTony the Doorman(as John O'Donahue)Daniel WhitnerFrank the Security ManLucy LinExecutive #1,      City of Angels      Matchstick Men      The Weather Man        MM      Snake Eyes      It Could Happen to You      Gone in   0 Seconds      Next      Leaving Las Vegas      Face/Off      The Family Man      Con Air
12,Dancer in the Dark,2000,140 ,7.9,61,"112,824",$4.18M,/title/tt0168629/,https://www.imdb.com/title/tt0168629/,https://www.imdb.com//title/tt0168629/mediaviewer/rm2533562368/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3164602649/1434659607842-pgv4ql-1563468368537.mp4?Expires=1683977312&Signature=GaWlMpC724i8I1JV0lFikI8MW8dDdi7~3qQqnaZm5FrnZru8oHlg38muQz6ZYsLVkKg6Zno~ULqjKiXor8aj9dTPgvF2U3~38VPiEBJvcN44N4UhCGpziO2fkKSw6TbXsB5tmqmv8mDhJPM3Cx~qTL43YHGIfVVpQbaSlcleOGogF7m1Ll8XLCtW~~DK4B-JLH60U-7N4pYk0tuqliycQgk17uYR6hsKu5gi5lhx0omvsfBa7ESMpCCVOio9fh1RbFDftgSuC0aMdiBWOwko8LYSVmKd6yOMtRN38CSJh~bRgHpxWbY-Ne0czLUdoumQwfRtCOuWspNEstwg9v1fAA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,CrimeDramaMusical,"Lars von Trier has said that each morning before filming, Björk would say ""Mr. von Trier, I despise you,"" and spit at him.",BjörkSelma JezkovaCatherine DeneuveKathyDavid MorseBill HoustonPeter StormareJeffJoel GreyOldrich NovyCara SeymourLinda HoustonVladica KosticGene JezekJean-Marc BarrNormanVincent PatersonSamuelSiobhan Fallon HoganBrenda(as Siobhan Fallon)Zeljko IvanekDistrict AttorneyUdo KierDr. PorkornyJens AlbinusMortyReathel BeanJudgeMette BerggreenReceptionistLars Michael DinesenDefense Attorney…Katrine FalkenbergSuzan…Michael FlessasAngry Man,    0Dogville      Breaking the Waves      Melancholia      Antichrist      The Idiots      The House That Jack Built      Europa      Manderlay      The Piano Teacher      Irreversible      The Boss of It All      The Element of Crime
13,28 Days,2000,103 ,6.1,46,"51,987",$37.17M,/title/tt0191754/,https://www.imdb.com/title/tt0191754/,https://www.imdb.com//title/tt0191754/mediaviewer/rm3077183488/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2301297433/1434659607842-pgv4ql-1564116920536.mp4?Expires=1683977317&Signature=RBIFJ0o~eWc4hUtMCzTWX7uA0AXqtTKK2mkrn9zGzZXs2VdXBRjnBwUxmwGk0AE~scKdd5iG0frxzsOP8qBCB4YEXE~XpLIHCH7CDgvMWns~1-NfAren6s7O~ddAHkRp3gJgtKsSynwsvwGLiXAeSY~URcVj6qzpbaGj-GSqfPvf8yZb5tCYrRnAErl41Lvfax7eEW9LF-qvLdUOqN-8AdAYsZAQRQunYTwae0BgMyRTj-ilXymg0a6g9NvsCzGGB2cp~p7z2jBekaQUd9X~ol-oIYLLB5oRoHNluSIP2sYKsw8OFTxF1PZXIwU8E7eMrCsz64OyY9~xe5sHMfvw3w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyDrama,Sandra Bullock would drink a triple espresso before any scene that required her character to have uncontrollable shakes.,Sandra BullockGwen CummingsViggo MortensenEddie BooneDominic WestJasperElizabeth PerkinsLilyAzura SkyeAndreaSteve BuscemiCornellAlan TudykGerhardtMike O'MalleyOliver(as Michael O'Malley)Marianne Jean-BaptisteRoshandaReni SantoniDanielDiane LaddBobbie JeanMargo MartindaleBettySusan KrebsEvelynLoudon Wainwright IIIGuitar GuyKatie ScharfYoung GwenMeredith DeaneYoung LilyElizabeth RuscioMomKathy PayneAunt Helen,    0Hope Floats      Forces of Nature      Two Weeks Notice      The Lake House    0The Net      Miss Congeniality      While You Were Sleeping      Practical Magic      Miss Congeniality      Armed & Fabulous      Murder by Numbers      Premonition           Days Later
14,Mission to Mars,2000,114 ,5.6,34,"74,868",$60.88M,/title/tt0183523/,https://www.imdb.com/title/tt0183523/,https://www.imdb.com//title/tt0183523/mediaviewer/rm674372353/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi52215321/1434659607842-pgv4ql-1593609147008.mp4?Expires=1683977323&Signature=XEOgfjIA4D3HC-EZ~yL3Yt2jNXwUT5OuPKUj4LiHgBTp0x0RdlnCvn9cptL48SGglbG7~0WImL8V6ZEHMwa1q~qK8m-Xn7~l2Lel8tyExh4mCRct7hgxGlA4ET1-YyFBWHCLKWaUqR7oSkvg5DKjlCrgrkmKYeFO~LQoR8Q8CTvPiOlsUL~NbrMSIyQP6MTjCuYHwwsOg5CGg0MHkRf9o7AOTHWPCy734q2DPi6Nimd5PxY0E5nofN4nTwfsqyoYMaxUOU3oAtSYf9cZtMXlqsMqDOtWVOEZBX2JKtRRW~UNF9O-oZtVpYtk2l5XZnIVAbbstr1GhItGax5xXAm8WQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,AdventureSci-FiThriller,The filmmakers created the Martian landscape in a massive sandpit near Vancouver. It was one of the biggest sets ever constructed for a movie - around two million square feet.,Tim RobbinsWoody BlakeGary SiniseJim McConnellDon CheadleLuke GrahamConnie NielsenTerri FisherJerry O'ConnellPhil OhlmyerPeter OuterbridgeSergei KirovKavan SmithNicholas WillisJill TeedReneé CotéElise NealDebra GrahamKim DelaneyMaggie McConnellMarilyn NorryNASA WifeFreda PerryNASA WifeLynda BoydNASA WifePatricia HarrasNASA WifeRobert Bailey Jr.Bobby GrahamChaynade KnowlesChild at PartyJeffrey BallardChild at Party(as Jeff Ballard)Anson WoodsChild at Party,      Red Planet      Femme Fatale      Redacted      Snake Eyes    0Raising Cain      Domino      The Black Dahlia      Passion      Casualties of War      The Bonfire of the Vanities      Sphere      Wise Guys
